provider_id,shift_id,shift_start,Hours_Awake,Decisions_Made,Decisions_per_hour,Task_Switches,Task_Switches_per_hour,Avg_Decision_Time_sec,Error_Rate,Error_Rate_per_hour,Cognitive_Load_Score,Time_of_Day,fatigue_probability,risk_tier,total_dc_orders,total_changes,n_orders
P000WL,P000WL_2200-09-17_19,2200-09-18 00:07:50,1.18,28,23.65,16,13.51,196.0,0.0,0.0,6.9,0,0.3926410794269859,Moderate,0,0,28
P00AEX,P00AEX_2111-01-21_7,2111-01-21 09:20:30,6.43,20,3.11,0,0.0,2222.0,0.55,1.7117,-0.0,9,0.10571691020663057,Low,9,2,20
P00AEX,P00AEX_2113-08-26_7,2113-08-26 08:01:27,6.32,16,2.53,9,1.42,776.0,0.3125,0.7917,8.62,8,0.39709842058750616,Moderate,1,4,16
P00AEX,P00AEX_2132-12-16_7,2132-12-16 08:08:03,8.09,30,3.71,4,0.49,3092.0,0.5333,1.9769,3.54,8,0.12552239843294768,Low,13,3,30
P00AEX,P00AEX_2132-12-17_7,2132-12-17 08:42:58,9.95,44,4.42,26,2.61,595.0,0.1364,0.6028,6.62,8,0.5287129983672687,Moderate,4,2,44
P00AEX,P00AEX_2153-09-20_7,2153-09-20 09:53:39,8.8,26,2.95,6,0.68,986.0,0.2692,0.7951,5.86,9,0.10309495620041235,Low,2,5,26
P00G8M,P00G8M_2123-02-21_7,2123-02-21 08:38:47,8.2,22,2.68,8,0.98,799.5,0.4545,1.2193,7.16,8,0.39087231266111444,Moderate,3,3,22
P00KXP,P00KXP_2135-01-13_7,2135-01-13 09:01:30,5.38,22,4.09,15,2.79,88.0,0.2273,0.9294,8.38,9,0.3864314827060058,Moderate,0,5,22
P00KXP,P00KXP_2135-01-16_7,2135-01-16 08:46:02,9.17,15,1.64,10,1.09,308.0,0.5333,0.8726,9.02,8,0.5905680290340942,Moderate,2,5,15
P00KXP,P00KXP_2191-01-18_7,2191-01-18 08:12:10,6.55,17,2.6,11,1.68,1849.0,0.2941,0.7639,7.84,8,0.3810634693537058,Moderate,2,3,17
P00KXP,P00KXP_2191-01-22_7,2191-01-22 09:17:07,6.96,15,2.16,10,1.44,912.0,0.1333,0.2876,8.67,9,0.12491073101766383,Low,1,1,15
P00WTK,P00WTK_2146-06-29_7,2146-06-29 10:02:03,3.74,18,4.81,7,1.87,114.0,0.5,2.4043,7.64,10,0.3973718279837311,Moderate,0,8,18
P00WTK,P00WTK_2153-03-27_19,2153-03-28 02:33:34,4.34,42,9.68,21,4.84,113.5,0.0714,0.6916,6.5,2,0.39025421560505374,Moderate,0,0,42
P0180Q,P0180Q_2140-10-03_7,2140-10-03 07:29:59,3.99,22,5.51,16,4.01,1413.0,0.0909,0.5007,8.76,7,0.4008663206991219,Moderate,0,0,22
P01DJD,P01DJD_2137-03-07_7,2137-03-07 16:15:12,0.1,31,60.0,22,30.0,300.0,0.0,0.0,8.02,16,0.829548189869221,High,0,0,31
P01TD2,P01TD2_2113-09-14_7,2113-09-14 09:36:49,0.99,33,33.21,13,13.08,3577.0,0.303,10.0,4.73,9,0.818818242883858,High,0,1,33
P01TD2,P01TD2_2187-02-10_19,2187-02-10 20:57:52,9.38,29,3.09,17,1.81,589.0,0.069,0.2132,8.27,20,0.3932814164702666,Moderate,1,1,29
P01TD2,P01TD2_2187-02-12_7,2187-02-12 10:09:35,0.79,18,22.9,6,7.63,234.0,0.1667,3.8163,8.08,10,0.6382538135856186,Moderate,2,1,18
P01TD2,P01TD2_2187-02-13_7,2187-02-13 08:40:30,10.02,31,3.09,14,1.4,175.5,0.4839,1.497,6.59,8,0.24736318321611842,Low,11,4,31
P01TVI,P01TVI_2134-08-02_7,2134-08-02 08:25:34,3.1,20,6.44,13,4.19,376.0,0.2,1.2885,8.34,8,0.38909464951957906,Moderate,0,0,20
P01WHP,P01WHP_2148-08-15_7,2148-08-15 07:02:55,11.76,32,2.72,8,0.68,1557.0,0.4688,1.2757,4.82,7,0.7176945235726693,High,5,9,32
P01WHP,P01WHP_2148-08-18_7,2148-08-18 08:00:39,8.77,15,1.71,3,0.34,2699.5,0.4,0.6844,5.71,8,0.10930745582499612,Low,0,6,15
P01WHP,P01WHP_2148-08-22_7,2148-08-22 15:33:20,3.41,50,14.67,17,4.99,350.0,0.2,2.9333,5.9,15,0.12834216465577583,Low,4,0,50
P01WHP,P01WHP_2148-08-24_7,2148-08-24 07:30:27,7.82,27,3.45,9,1.15,500.5,0.1852,0.6393,5.86,7,0.11457145644834751,Low,3,2,27
P01WHP,P01WHP_2148-08-25_7,2148-08-25 07:02:51,11.71,35,2.99,12,1.02,1682.5,0.6,1.7934,6.89,7,0.7539654527428359,High,8,13,35
P01WHP,P01WHP_2148-08-26_7,2148-08-26 09:16:55,7.54,19,2.52,7,0.93,1714.5,0.2632,0.6633,7.25,9,0.11259541576415324,Low,3,2,19
P01WHP,P01WHP_2148-08-28_7,2148-08-28 07:41:05,10.04,17,1.69,5,0.5,513.5,0.3529,0.5979,7.73,7,0.3949170004849751,Moderate,2,3,17
P01WHP,P01WHP_2148-08-29_7,2148-08-29 07:59:04,8.75,15,1.71,8,0.91,3495.0,0.5333,0.9144,8.0,7,0.3932483492730824,Moderate,5,3,15
P01WHP,P01WHP_2148-08-30_7,2148-08-30 08:50:18,10.11,22,2.18,13,1.29,901.5,0.4091,0.8901,8.46,8,0.7458785951514929,High,7,2,22
P01WHP,P01WHP_2148-09-01_7,2148-09-01 07:37:44,10.77,28,2.6,14,1.3,482.0,0.4286,1.1141,7.63,7,0.5601457734818555,Moderate,7,4,28
P01WHP,P01WHP_2148-09-02_7,2148-09-02 07:25:45,11.24,16,1.42,4,0.36,384.0,0.3125,0.445,7.56,7,0.6121525166178418,Moderate,2,3,16
P01X5P,P01X5P_2156-04-26_19,2156-04-26 19:06:31,2.03,33,16.28,20,9.87,3648.5,0.0909,1.4801,7.06,19,0.38552975846559545,Moderate,1,2,33
P01X5P,P01X5P_2201-07-08_7,2201-07-08 16:21:28,1.97,34,17.3,18,9.16,413.0,0.0882,1.5261,6.21,16,0.11099432397832017,Low,1,2,34
P020I0,P020I0_2138-11-01_7,2138-11-01 07:51:02,10.64,16,1.5,12,1.13,847.5,0.1875,0.2819,8.61,7,0.6397049123114299,Moderate,0,2,16
P02U8G,P02U8G_2174-06-07_19,2174-06-08 00:30:18,5.06,40,7.9,17,3.36,397.0,0.05,0.3951,7.51,0,0.39575370285519657,Moderate,1,1,40
P031P4,P031P4_2149-09-30_19,2149-10-01 02:49:34,3.68,18,4.89,10,2.72,1216.0,0.2778,1.3585,8.66,2,0.4008836315566505,Moderate,1,0,18
P039XB,P039XB_2115-09-28_7,2115-09-28 07:46:01,9.84,16,1.63,14,1.42,251.0,0.125,0.2032,9.09,7,0.6467031650173599,Moderate,1,1,16
